PM2.5,PM10,SO2,NO2,O3,TEMP,PRES,DEWP,RAIN,WSPM,CO
5,14,4,12,85,-0.5,1024.5,-21.4,0,5.7,200
8,12,6,14,84,-0.7,1025.1,-22.1,0,3.9,200
3,6,5,14,83,-1.2,1025.3,-24.6,0,5.3,200
5,5,5,14,84,-1.4,1026.2,-25.5,0,4.9,200
5,5,6,21,77,-1.9,1027.1,-24.5,0,3.2,200
3,3,13,21,77,-2.4,1027.5,-21.3,0,2.4,300
4,4,15,32,62,-2.5,1028.2,-20.4,0,2.2,300
3,7,14,45,48,-1.4,1029.5,-20.4,0,3,400
3,6,13,49,46,-0.3,1030.4,-21.2,0,4.6,400
11,14,9,28,68,0.4,1030.5,-23.3,0,5.5,400
3,7,6,20,77,1.4,1030.2,-22.5,0,5.2,300
3,6,6,19,81,2.9,1029.8,-22.9,0,5.3,300
3,6,4,17,86,4,1028.6,-21.2,0,4.6,300
3,6,4,17,87,5,1027.8,-21.2,0,4.5,300
6,11,4,19,86,6.2,1027.6,-22.2,0,4,300
5,13,4,18,89,6,1027.7,-21.3,0,2.1,300
5,12,4,21,85,5.6,1027.7,-20.7,0,1.8,300
10,23,8,25,80,4.4,1028.2,-20.9,0,3.5,400
11,22,7,27,77,3.2,1029.4,-20.3,0,0.5,400
11,12,12,39,64,3,1030.1,-19.7,0,1.1,400
10,14,18,46,55,1.6,1031.3,-19,0,1.2,500
12,15,18,50,49,0.8,1032.4,-19.7,0,1,500
17,20,20,56,43,0.1,1032.9,-19.2,0,1.8,600
6,17,17,41,57,-0.5,1032.8,-19.7,0,2.1,500
13,13,12,40,57,-0.7,1033,-18.3,0,0.6,500
3,9,13,39,56,-1.6,1033.2,-17.4,0,0,500
3,9,NA,38,52,-2.2,1032.9,-16.7,0,0,400
3,6,8,30,89,-3.1,1032.6,-15.8,0,0,NA
3,6,7,NA,59,-3.1,1032.7,-16.1,0,0,400
3,6,9,42,50,-2.4,1032.1,-18.1,0,0.8,400
3,6,16,57,35,-2.3,1031.3,-18.4,0,1.5,500
3,7,33,61,32,-1.9,1031.9,-18.5,0,1.4,500
